PLAYER_ID,PLAYER_NAME,POSITION,HEIGHT_WO_SHOES_FT_IN,HEIGHT_W_SHOES_FT_IN,WEIGHT,WINGSPAN_FT_IN,STANDING_REACH_FT_IN,BODY_FAT_PCT,HAND_LENGTH,HAND_WIDTH
203500,Steven Adams,C,6' 10.75'',7' 0'',254.5,7' 4.5'',9' 1.5'',6.65,9.5,11.0
203505,Vander Blue,SG,6' 3.5'',6' 5.25'',197.4,6' 6'',8' 4.5'',4.6,8.5,9.5
203485,Lorenzo Brown,PG,6' 4'',6' 5.25'',189.2,6' 7'',8' 4'',3.95,8.25,8.5
203493,Reggie Bullock,SG-SF,6' 5.75'',6' 7'',199.8,6' 8.75'',8' 6'',6.95,8.5,9.0
203504,Trey Burke,PG,5' 11.75'',6' 1.25'',187,6' 5.5'',8' 1.5'',6.9,8.25,8.75
203484,Kentavious Caldwell-Pope,SG,6' 4.5'',6' 5.5'',203.6,6' 8'',8' 4.5'',6.45,8.5,9.0
203477,Isaiah Canaan,PG,5' 11'',6' 0'',188.4,6' 4.5'',7' 10.5'',5.9,8.25,9.5
203478,Jackie Carmichael,PF,6' 7.5'',6' 9'',241.2,7' 1.5'',8' 11'',5.8,9.0,10.25
203487,Michael Carter-Williams,PG,6' 4.75'',6' 5.75'',184.4,6' 7.25'',8' 5'',4.4,7.5,8.5
12524,Will Clyburn,SF-SG,6' 5.75'',6' 7'',210.4,7' 0.25'',8' 9'',6.85,9.25,10.25
203496,Robert Covington,SF-PF,6' 6.25'',6' 7.5'',208.6,7' 1.75'',8' 10'',4.7,9.0,8.5
203459,Allen Crabbe,SG,6' 5.25'',6' 6.25'',197.4,6' 11.25'',8' 7.5'',4.65,8.25,8.5
203552,Seth Curry,SG,6' 1'',6' 3'',179.2,6' 4'',8' 1.5'',9.6,8.0,8.25
203561,Brandon Davies,PF,6' 8.5'',6' 10.25'',241.8,7' 1.5'',9' 0.5'',8.6,9.0,11.0
203473,Dewayne Dedmon,C,6' 10'',6' 11.5'',238.8,7' 4'',9' 1'',8.35,9.0,11.0
203476,Gorgui Dieng,C,6' 9.75'',6' 10.75'',229.6,7' 3.5'',9' 3.5'',5.35,9.0,10.0
203516,James Ennis,SF,6' 5.75'',6' 7'',200.8,6' 11.5'',8' 8.5'',4.5,8.5,8.75
203467,Carrick Felix,SF-SG,6' 4.75'',6' 6.25'',202.6,6' 9.25'',8' 7.5'',3.3,8.5,9.5
203479,Jamaal Franklin,SG-SF,6' 4'',6' 5.25'',190.8,6' 11.25'',8' 7.5'',8.25,8.5,8.25
203497,Rudy Gobert,C,7' 0.5'',7' 2'',237.6,7' 8.5'',9' 7'',4.4,9.75,10.0
203462,Archie Goodwin,SG,6' 3.75'',6' 5.25'',189,6' 9.5'',8' 6'',4.55,8.5,9.0
203475,Erick Green,PG,6' 1.5'',6' 3'',178.2,6' 5.75'',8' 2'',4.35,8.5,9.0
203501,Tim Hardaway Jr.,SG,6' 4.5'',6' 6.25'',199.4,6' 7'',8' 5'',6.05,8.0,9.25
203524,Solomon Hill,SF,6' 5.5'',6' 7'',226,6' 9'',8' 7'',7.6,9.0,10.5
203494,Richard Howell,PF,6' 6.25'',6' 7.5'',249.6,6' 10.25'',8' 9.5'',8.75,8.75,9.5
203470,Colton Iverson,C,6' 10.5'',7' 0'',262.8,7' 2'',9' 2'',9.6,9.25,9.5
203510,Pierre Jackson,PG,5' 9.5'',5' 10.5'',176,5' 10'',7' 6'',4.5,7.5,8.25
203511,Grant Jerrett,PF,6' 8.75'',6' 10.25'',232,7' 2'',9' 1'',10.05,8.5,9.25
203509,Myck Kabongo,PG,6' 1.25'',6' 2.75'',180.4,6' 6.25'',8' 2'',6.0,8.25,9.0
203483,Kenny Kadji,PF-C,6' 8.75'',6' 10'',241.6,7' 3'',8' 10.5'',7.45,9.0,10.25
203527,Ryan Kelly,PF,6' 9.75'',6' 11.75'',228,6' 11.5'',9' 2'',14.75,9.0,10.0
203499,Shane Larkin,PG,5' 10.25'',5' 11.5'',170.8,5' 10.75'',7' 5.5'',3.8,7.5,8.75
203495,Ricky Ledo,SG,6' 4.75'',6' 6'',197.2,6' 7.25'',8' 6.5'',10.25,8.5,9.25
203458,Alex Len,C,,,,7' 3.5'',,6.4,9.0,10.75
203466,CJ Leslie,PF-SF,6' 7.5'',6' 8.75'',209.2,7' 2.25'',8' 8.5'',7.95,8.75,9.0
203522,Trevor Mbakwe,PF,6' 6.75'',6' 8'',235.8,7' 4'',8' 10.5'',5.9,9.5,11.5
203492,Ray McCallum,PG,6' 0.25'',6' 1.75'',191.4,6' 3.25'',8' 0.5'',7.3,8.0,8.75
203468,CJ McCollum,PG-SG,6' 2.25'',6' 3.25'',197,6' 6.25'',8' 0.5'',8.6,8.0,9.5
203463,Ben McLemore,SG,6' 3.5'',6' 4.75'',189.2,6' 7.75'',8' 4.5'',5.0,8.75,9.5
203502,Tony Mitchell,PF-SF,6' 7.5'',6' 8.75'',236.4,7' 2.5'',8' 10.5'',5.55,9.0,10.0
203498,Shabazz Muhammad,SF-SG,6' 4.75'',6' 6.25'',221.8,6' 11'',8' 8.5'',9.0,9.0,10.0
203513,Erik Murphy,PF,6' 8.75'',6' 9.5'',239.8,6' 10.5'',9' 0'',7.95,8.75,9.75
203488,Mike Muscala,C-PF,6' 10.25'',6' 11.5'',230.2,7' 1'',9' 0'',6.8,8.5,9.0
203457,Nerlens Noel,C,6' 10'',6' 11.75'',206.4,7' 3.75'',9' 2'',4.15,9.5,10.0
203506,Victor Oladipo,SG,6' 3.25'',6' 4.25'',213.2,6' 9.25'',8' 4.5'',6.55,8.75,9.25
203482,Kelly Olynyk,PF-C,6' 10.75'',7' 0'',234,6' 9.75'',9' 0'',6.65,8.5,10.0
203464,Brandon Paul,SG,6' 2.75'',6' 4'',201,6' 10.25'',8' 2'',5.25,8.5,9.5
203658,Norvel Pelle,PF-C,6' 9.5'',6' 10.5'',207.2,7' 2.5'',9' 1'',5.15,8.75,9.5
203486,Mason Plumlee,C-PF,6' 11.25'',7' 0.5'',238.2,6' 11'',9' 0'',6.15,9.75,9.5
203490,Otto Porter,SF,6' 7.5'',6' 8.5'',197.6,7' 1.5'',8' 9.5'',6.65,8.75,9.25
203515,Phil Pressey,PG,5' 9.5'',5' 11.5'',177,6' 2.25'',7' 8'',4.7,7.75,9.75
203318,Glen Rice,SF-SG,6' 4.5'',6' 5.75'',210.8,6' 9.25'',8' 5.5'',8.45,8.5,9.0
203460,Andre Roberson,PF-SF,6' 6.25'',6' 7'',205.8,6' 11'',8' 8.5'',7.05,8.75,9.5
203471,Dennis Schroder,PG,6' 1'',6' 2'',164.8,6' 7.75'',8' 2'',4.1,8.75,10.5
203491,Peyton Siva,PG,5' 11.5'',6' 1'',180.6,6' 3'',7' 9'',6.05,8.0,9.75
203503,Tony Snell,SF-SG,6' 6'',6' 7.25'',198.2,6' 11.5'',8' 9.5'',4.85,9.0,9.5
203480,James Southerland,SF-PF,6' 7'',6' 8'',220.6,7' 1'',8' 10'',8.05,8.0,9.5
203519,Adonis Thomas,SF,6' 4.75'',6' 5.75'',231.8,7' 1'',8' 3'',7.5,9.25,9.5
203472,Deshaun Thomas,SF,6' 5'',6' 7'',219.8,6' 10'',8' 8'',9.1,8.0,8.75
203481,Jeff Withey,C,6' 10.75'',7' 0.5'',221.8,7' 2'',9' 2.5'',8.65,9.0,9.75
203489,Nate Wolters,PG,6' 3.5'',6' 4.75'',196.4,6' 3.75'',8' 2'',5.5,8.25,8.75
203523,BJ Young,SG-PG,6' 2.25'',6' 3.5'',178.8,6' 8.25'',8' 3'',4.7,8.5,9.5
203469,Cody Zeller,C-PF,6' 10.75'',7' 0.25'',230,6' 10.75'',8' 10'',4.75,8.5,10.5
203919,Jordan Adams,SG,6' 3.5'',6' 4.75'',208.8,6' 10'',8' 6'',10.8,8.5,7.5
203937,Kyle Anderson,SF,6' 7.5'',6' 8.5'',230.1,7' 2.75'',8' 11.5'',13.35,8.25,8.75
203648,Thanasis Antetokounmpo,SF,6' 5.25'',6' 6.25'',205.2,7' 0'',8' 8.5'',6.05,9.0,9.75
203947,Jordan Bachynski,PF,7' 1.25'',7' 2'',254.1,7' 4'',9' 0.5'',7.45,9.25,10.0
203946,Cameron Bairstow,PF,6' 8.75'',6' 9.75'',252.4,7' 0.75'',8' 11'',8.7,8.75,9.0
203920,Khem Birch,PF,6' 7.5'',6' 9.25'',208.8,7' 1'',8' 11'',6.0,9.0,8.5
203938,Alec Brown,PF,7' 0.25'',7' 1.25'',231.2,7' 1.5'',9' 1'',7.7,9.25,8.75
203900,Markel Brown,SG,6' 2.5'',6' 3.5'',184.4,6' 8.75'',8' 4'',4.2,8.25,9.75
203913,Jabari Brown,SG,6' 3'',6' 4.25'',201.9,6' 8.25'',8' 4'',6.05,9.0,9.25
203907,Deonte Burton,PG,6' 0'',6' 1.25'',192.8,6' 7'',8' 1.5'',7.65,8.25,8.0
203902,Semaj Christon,PG,6' 1.5'',6' 3.25'',186,6' 6.5'',8' 3'',5.25,8.5,8.25
203903,Jordan Clarkson,PG,6' 3.25'',6' 5'',186.3,6' 8'',8' 2'',4.3,8.25,9.0
203905,Aaron Craft,PG,6' 0.75'',6' 1.75'',191.6,6' 2'',7' 10.5'',6.1,7.75,8.5
203908,DeAndre Daniels,SF,6' 7.25'',6' 8.5'',196,7' 2'',8' 10.5'',3.85,9.25,10.5
203915,Spencer Dinwiddie,PG,6' 4.5'',6' 6'',204.9,6' 8.25'',8' 7'',5.35,8.25,9.0
203921,Cleanthony Early,SF,6' 6'',6' 7.25'',209.4,6' 10.75'',8' 5.5'',4.45,8.5,9.0
203929,Melvin Ejim,SF,6' 5.25'',6' 7'',218.5,6' 11.25'',8' 7.5'',6.45,8.75,9.25
203898,Tyler Ennis,PG,6' 1'',6' 2.5'',181.5,6' 7.25'',8' 2'',6.2,8.25,8.75
203957,Dante Exum,SG,6' 4.5'',6' 6'',196.3,6' 9.5'',8' 7'',6.4,8.5,9.5
203927,C.J. Fair,SF,6' 6.5'',6' 8'',218.1,6' 9.5'',8' 8'',5.05,9.0,9.0
203932,Aaron Gordon,PF,6' 7.5'',6' 8.75'',220.1,6' 11.75'',8' 9'',5.05,8.75,10.5
203924,Jerami Grant,SF,6' 6.5'',6' 7.75'',214,7' 2.75'',8' 11'',3.75,9.25,9.25
203798,P.J. Hairston,SG,6' 4.25'',6' 5.25'',228.8,6' 9'',8' 5'',8.2,8.75,9.75
203914,Gary Harris,SG,6' 2.5'',6' 4.5'',204.8,6' 6.75'',8' 0'',4.55,8.5,9.5
203925,Joe Harris,SG,6' 4.75'',6' 6.25'',215,6' 6'',8' 4'',6.2,8.5,9.75
203918,Rodney Hood,SF,6' 7.25'',6' 8.5'',208.2,6' 8.5'',8' 7'',7.45,8.5,8.5
203928,Cory Jefferson,PF,6' 7.75'',6' 9'',218.4,7' 0.5'',8' 9'',5.25,8.75,9.75
203910,Nick Johnson,SG,6' 1.5'',6' 3'',198,6' 7.25'',8' 0.5'',6.05,8.75,9.75
203930,Sean Kilpatrick,SG,6' 2.5'',6' 4.25'',218.7,6' 7'',8' 3'',9.2,9.0,9.0
203945,Alex Kirk,PF,6' 9.25'',6' 10.75'',252,7' 3.5'',9' 1.5'',13.6,9.25,10.5
203897,Zach LaVine,PG,6' 4.5'',6' 5.75'',180.9,6' 8.25'',8' 4'',4.7,8.25,8.75
203906,Devyn Marble,SG,6' 5'',6' 6.5'',192.4,6' 9'',8' 6'',6.9,8.25,8.5
203949,James McAdoo,PF,6' 7.5'',6' 8.75'',227.6,7' 2.25'',8' 10.5'',6.15,9.25,9.0
203909,K.J. McDaniels,SF,6' 4.5'',6' 6'',195.6,6' 11.25'',8' 6'',4.45,8.75,9.75
203926,Doug McDermott,SF,6' 6.25'',6' 7.75'',218,6' 9.25'',8' 7'',7.1,8.75,9.75
203895,Jordan McRae,SG,6' 3.75'',6' 5.25'',179.4,7' 0.5'',8' 8'',5.2,8.75,8.5
203894,Shabazz Napier,PG,5' 11'',6' 1'',175.2,6' 3.25'',7' 9'',7.35,8.25,8.5
203948,Johnny O?Bryant III,PF,6' 7.25'',6' 8.5'',256.8,7' 2.25'',8' 9'',10.75,9.25,9.5
203934,Lamar Patterson,SG,6' 4'',6' 5.25'',226,6' 11'',8' 5'',10.75,9.0,9.25
203940,Adreian Payne,PF,6' 9'',6' 9.75'',238.5,7' 4'',9' 1'',7.55,9.25,9.5
203901,Elfrid Payton,PG,6' 2.5'',6' 3.75'',185.4,6' 8'',8' 2.5'',5.65,8.75,9.0
203939,Dwight Powell,PF,6' 9.5'',6' 11'',234.4,7' 0.5'',8' 9'',6.2,9.0,9.25
203944,Julius Randle,PF,6' 7.75'',6' 9'',249.7,7' 0'',8' 9.5'',9.4,8.75,8.25
203922,Glenn Robinson III,SF,6' 5.5'',6' 6.75'',211.4,6' 10'',8' 4.5'',5.05,9.0,9.5
203941,LaQuinton Ross,SF,6' 6.5'',6' 7.5'',238.7,7' 1.75'',8' 10'',16.3,8.75,9.75
203935,Marcus Smart,PG,6' 2'',6' 3.25'',227.2,6' 9.25'',8' 3'',10.55,9.0,8.75
203893,Russ Smith,PG,5' 11.5'',6' 0.75'',160,6' 3.5'',7' 11'',3.5,8.25,8.5
203917,Nik Stauskas,SG,6' 5.25'',6' 6.5'',206.9,6' 7.75'',8' 6'',12.05,8.5,8.5
203950,Jarnell Stokes,PF,6' 7'',6' 8.5'',262.8,7' 1.25'',8' 7.5'',8.2,9.75,10.5
203904,Xavier Thames,PG,6' 2.25'',6' 3.5'',187,6' 4'',8' 0'',6.4,8.25,9.0
203943,Noah Vonleh,PF,6' 8'',6' 9.5'',247.1,7' 4.25'',9' 0'',7.3,9.75,11.75
203933,T.J. Warren,SF,6' 7'',6' 8.25'',220.2,6' 10.25'',8' 8'',7.95,8.75,9.0
203912,C.J. Wilcox,SG,6' 3.5'',6' 5'',201,6' 9.75'',8' 4.5'',6.5,8.75,9.0
203899,Kendall Williams,PG,6' 2.25'',6' 3.75'',183,6' 5.5'',8' 3'',7.2,8.0,7.75
203942,Patric Young,PF,6' 8.5'',6' 10'',246.8,7' 1.75'',8' 7.5'',5.45,9.25,9.5
203923,James Young,SG,6' 5.25'',6' 6.75'',213.3,7' 0'',8' 8'',5.1,9.0,9.5
1626146,Cliff Alexander,PF-C,6' 7.25'',6' 8.5'',239.2,7' 3.5'',9' 1.5'',5.8,9.5,10.25
1626147,Justin Anderson,SF-SG,6' 5.25'',6' 6.25'',230.6,6' 11.75'',8' 5'',5.0,8.5,9.5
1626165,Brandon Ashley,PF,6' 7.25'',6' 8.5'',228,7' 3.75'',8' 9'',8.8,9.0,9.5
1626207,Ryan Boatright,PG,5' 10'',5' 11'',169.6,6' 0.5'',7' 8.5'',6.6,7.5,8.75
1626164,Devin Booker,SG,6' 4.5'',6' 5.75'',205.8,6' 8.25'',8' 6.5'',8.3,8.75,9.0
1626148,Anthony Brown,SF-SG,6' 5.75'',6' 7.25'',211,6' 11'',8' 8.5'',6.1,8.5,9.0
1626161,Willie Cauley-Stein,C,6' 11.25'',7' 0.5'',242.4,7' 3'',9' 3'',6.3,9.5,9.0
1626176,Rakeem Christmas,PF-C,6' 8.25'',6' 9.75'',242.6,7' 5.25'',9' 2.5'',9.6,9.25,9.0
1626192,Pat Connaughton,SG,6' 4'',6' 5.25'',215,6' 8'',8' 0'',10.2,8.5,9.25
1626188,Quinn Cook,PG,6' 0.25'',6' 2'',179,6' 4'',8' 0.5'',6.7,7.5,8.75
1626183,Branden Dawson,PF,6' 5.5'',6' 6.75'',230.2,6' 11'',8' 9'',5.8,9.0,8.75
1626155,Sam Dekker,SF,6' 7.75'',6' 9'',218.6,6' 11.5'',8' 10'',7.5,8.5,9.25
1626187,Michael Frazier II,SG,6' 3.75'',6' 4.25'',199.4,6' 8'',8' 5.5'',7.4,8.25,9.25
1626203,Treveon Graham,SF,6' 4'',6' 5.75'',219.4,6' 10.5'',8' 7'',5.5,8.5,8.25
1626170,Jerian Grant,PG,6' 3.25'',6' 4.25'',198,6' 7.5'',8' 4'',5.6,8.25,8.5
1626152,Olivier Hanlan,PG-SG,6' 3.25'',6' 4.25'',185.8,6' 6'',8' 4'',4.3,8.0,8.75
1626149,Montrezl Harrell,PF,6' 7'',6' 7.5'',253.4,7' 4.25'',9' 1'',11.9,9.0,9.75
1626150,Andrew Harrison,PG,6' 4.5'',6' 5.5'',213.2,6' 9'',8' 4'',5.9,8.25,9.25
1626151,Aaron Harrison,SG,6' 4.5'',6' 6'',209.2,6' 8.25'',8' 4.5'',6.0,8.75,10.0
1626227,Tyler Harvey,SG,6' 2.75'',6' 4'',181.4,6' 5.5'',8' 2.5'',9.2,7.75,8.75
1626186,Corey Hawkins,SG-PG,6' 0.75'',6' 1.75'',191.8,6' 8'',8' 3.5'',5.5,8.75,9.0
1626178,Rondae Hollis-Jefferson,SF,6' 5.5'',6' 7'',210.8,7' 2'',8' 8'',5.0,8.75,9.75
1626158,Richaun Holmes,PF,6' 8.25'',6' 9.5'',242.8,7' 1.5'',9' 0'',8.8,8.5,8.5
1626182,Jonathan Holmes,PF-SF,6' 8.25'',6' 9.25'',242.2,6' 11.5'',8' 11.5'',7.2,8.25,9.5
1626154,R.J. Hunter,SG,6' 4.5'',6' 6'',185,6' 10.5'',8' 8'',6.0,8.5,8.25
1626205,Vince Hunter,PF,6' 6.75'',6' 7.5'',208.4,6' 11'',8' 8.5'',4.6,9.0,8.75
1626177,Dakari Johnson,C,6' 11'',6' 11.75'',264.6,7' 2'',9' 4'',14.9,9.25,10.5
1626169,Stanley Johnson,SF,6' 5'',6' 6.5'',241.8,6' 11.5'',8' 6'',7.5,9.0,9.0
1626145,Tyus Jones,PG,6' 0.5'',6' 2'',184.6,6' 5'',8' 1'',6.5,8.25,8.75
1626163,Frank Kaminsky,C-PF,6' 11.75'',7' 0.75'',231.2,6' 11'',9' 1.5'',9.4,8.5,9.5
1626172,Kevon Looney,PF,6' 8'',6' 9.25'',222.4,7' 3.5'',9' 2'',11.9,9.5,9.25
1626168,Trey Lyles,PF,6' 9'',6' 10.25'',241.2,7' 1.5'',9' 0'',12.1,9.25,10.25
1626185,Jarell Martin,PF,6' 8'',6' 9.25'',238.6,6' 9'',8' 10.5'',10.1,8.25,9.5
204456,TJ McConnell,PG,6' 0.5'',6' 2'',187.8,6' 2'',8' 0.5'',7.3,7.5,7.0
1626191,Chris McCullough,PF,6' 8.25'',6' 9'',199,7' 3.25'',9' 1'',6.2,8.75,8.75
1626175,Jordan Mickey,PF,6' 7'',6' 8.25'',238,7' 3.25'',8' 10'',7.2,8.75,9.5
2006,Larry Nance,PF,6' 7.5'',6' 8.5'',226.6,7' 1.5'',9' 0'',6.4,9.0,9.75
1626162,Kelly Oubre,SF-SG,6' 5.75'',6' 6.75'',202.8,7' 2.25'',8' 6.5'',5.7,9.0,8.75
1626166,Cameron Payne,PG,6' 0.75'',6' 1.5'',182.8,6' 7.25'',8' 1.5'',6.3,8.5,8.25
1626189,Terran Petteway,SG,6' 4.75'',6' 6'',209.2,6' 11.25'',8' 8.5'',4.9,8.25,8.25
1626171,Bobby Portis,PF,6' 9.5'',6' 10.5'',246.2,7' 2'',9' 0.5'',8.9,9.5,9.25
1626181,Norman Powell,SG,6' 3'',6' 4.25'',215.4,6' 10.75'',8' 6.5'',6.4,9.25,9.0
1626180,Michael Qualls,SG-SF,6' 4'',6' 5'',201.4,7' 0.25'',8' 8.5'',4.0,9.0,10.25
1626184,Chasson Randle,PG,6' 0.25'',6' 1.5'',178.8,6' 7'',8' 0.5'',4.5,8.5,9.5
1626179,Terry Rozier,PG-SG,6' 0.5'',6' 2.25'',190.2,6' 8.25'',8' 2.5'',5.6,8.25,8.5
1626156,D?Angelo Russell,PG-SG,6' 3.25'',6' 5'',193.4,6' 9.75'',8' 6'',8.3,8.75,9.75
1626208,Keifer Sykes,PG,5' 10.5'',5' 11.75'',167.2,6' 2'',7' 9'',5.0,8.5,9.5
1626194,Marcus Thornton,PG-SG,6' 1.75'',6' 2.75'',177.4,6' 7.75'',8' 1.5'',5.3,8.25,8.5
1626160,J.P. Tokoto,SF-SG,6' 5.25'',6' 6.25'',195.8,6' 10'',8' 4.5'',4.1,8.0,8.75
1626167,Myles Turner,C-PF,6' 9.75'',6' 11.5'',238.6,7' 4'',9' 4'',9.3,9.25,9.25
1626193,Robert Upshaw,C,6' 10.75'',7' 0'',258.2,7' 5.5'',9' 5'',12.5,10.0,11.0
1626173,Rashad Vaughn,SG,6' 3.75'',6' 5'',198.6,6' 7'',8' 5'',6.2,8.0,8.5
1626217,Chris Walker,PF,6' 8.75'',6' 9.25'',208,7' 2.75'',9' 0'',5.1,9.0,9.0
1627361,Dez Wells,SG,6' 3'',6' 4'',208.8,6' 9.5'',8' 4.5'',8.1,8.75,9.75
1626210,Alan Williams,PF,6' 7.25'',6' 8.25'',261.4,7' 1.75'',8' 10.5'',12.0,8.5,9.5
